"occupation_label","province_label","sex_label","age_label","population"
"Bedrijfshoofden Overige","LIMBURG","Mannen","65 j. e.o.",555
"Medew.gezinsleden","LIMBURG","Mannen","65 j. e.o.",4
"Vrije beroepen","LIMBURG","Mannen","65 j. e.o.",94
"Employé's","LIMBURG","Mannen","65 j. e.o.",407
"Landbouwarbeiders","LIMBURG","Mannen","65 j. e.o.",486
"Overige handarbeiders ","LIMBURG","Mannen","65 j. e.o.",824
"Totaal","LIMBURG","Mannen","65 j. e.o.",7353
"Bedrijfshoofden Nijverheid","AMSTERDAM","Mannen","65 j. e.o.",1029
"Bedrijfshoofden Landbouw","AMSTERDAM","Mannen","65 j. e.o.",77
"Bedrijfshoofden Winkels","AMSTERDAM","Mannen","65 j. e.o.",463
"Vrije beroepen","GRONINGEN","Mannen","65 j. e.o.",69
"Bedrijfshoofden Overige","AMSTERDAM","Mannen","65 j. e.o.",1080
"Medew.gezinsleden","AMSTERDAM","Mannen","65 j. e.o.",2
"Vrije beroepen","AMSTERDAM","Mannen","65 j. e.o.",294
"Employé's","AMSTERDAM","Mannen","65 j. e.o.",1043
"Landbouwarbeiders","AMSTERDAM","Mannen","65 j. e.o.",79
"Overige handarbeiders ","AMSTERDAM","Mannen","65 j. e.o.",2611
"Totaal","AMSTERDAM","Mannen","65 j. e.o.",6678
"Bedrijfshoofden Nijverheid","ROTTERDAM","Mannen","65 j. e.o.",684
"Bedrijfshoofden Landbouw","ROTTERDAM","Mannen","65 j. e.o.",133
"Bedrijfshoofden Winkels","ROTTERDAM","Mannen","65 j. e.o.",508
"Employé's","GRONINGEN","Mannen","65 j. e.o.",318
"Bedrijfshoofden Overige","ROTTERDAM","Mannen","65 j. e.o.",641
"Medew.gezinsleden","ROTTERDAM","Mannen","65 j. e.o.",1
"Vrije beroepen","ROTTERDAM","Mannen","65 j. e.o.",143
"Employé's","ROTTERDAM","Mannen","65 j. e.o.",580
"Landbouwarbeiders","ROTTERDAM","Mannen","65 j. e.o.",82
"Overige handarbeiders ","ROTTERDAM","Mannen","65 j. e.o.",1629
"Totaal","ROTTERDAM","Mannen","65 j. e.o.",4401
"Bedrijfshoofden Nijverheid","s-Gravenhage","Mannen","65 j. e.o.",879
"Bedrijfshoofden Landbouw","s-Gravenhage","Mannen","65 j. e.o.",69
"Bedrijfshoofden Winkels","s-Gravenhage","Mannen","65 j. e.o.",363
"Landbouwarbeiders","GRONINGEN","Mannen","65 j. e.o.",1443
"Bedrijfshoofden Overige","s-Gravenhage","Mannen","65 j. e.o.",776
"Medew.gezinsleden","s-Gravenhage","Mannen","65 j. e.o.",0
"Vrije beroepen","s-Gravenhage","Mannen","65 j. e.o.",420
"Employé's","s-Gravenhage","Mannen","65 j. e.o.",1049
"Landbouwarbeiders","s-Gravenhage","Mannen","65 j. e.o.",77
"Overige handarbeiders ","s-Gravenhage","Mannen","65 j. e.o.",1642
"Totaal","s-Gravenhage","Mannen","65 j. e.o.",5275
"Bedrijfshoofden Nijverheid","UTRECHT","Mannen","65 j. e.o.",249
"Bedrijfshoofden Landbouw","UTRECHT","Mannen","65 j. e.o.",32
"Bedrijfshoofden Winkels","UTRECHT","Mannen","65 j. e.o.",111
"Overige handarbeiders ","GRONINGEN","Mannen","65 j. e.o.",996
"Bedrijfshoofden Overige","UTRECHT","Mannen","65 j. e.o.",176
"Medew.gezinsleden","UTRECHT","Mannen","65 j. e.o.",0
"Vrije beroepen","UTRECHT","Mannen","65 j. e.o.",59
"Employé's","UTRECHT","Mannen","65 j. e.o.",228
"Landbouwarbeiders","UTRECHT","Mannen","65 j. e.o.",24
"Overige handarbeiders ","UTRECHT","Mannen","65 j. e.o.",535
"Totaal","UTRECHT","Mannen","65 j. e.o.",1414
"Totaal","GRONINGEN","Mannen","65 j. e.o.",6174
"Bedrijfshoofden Nijverheid","FRIESLAND","Mannen","65 j. e.o.",646
"Bedrijfshoofden Landbouw","FRIESLAND","Mannen","65 j. e.o.",2690
"Bedrijfshoofden Winkels","FRIESLAND","Mannen","65 j. e.o.",332
"Bedrijfshoofden Overige","FRIESLAND","Mannen","65 j. e.o.",847
"Medew.gezinsleden","FRIESLAND","Mannen","65 j. e.o.",6
"Vrije beroepen","FRIESLAND","Mannen","65 j. e.o.",53
"Employé's","FRIESLAND","Mannen","65 j. e.o.",302
"Landbouwarbeiders","FRIESLAND","Mannen","65 j. e.o.",1237
"Overige handarbeiders ","FRIESLAND","Mannen","65 j. e.o.",767
"Totaal","FRIESLAND","Mannen","65 j. e.o.",6880
"Bedrijfshoofden Nijverheid","DRENTHE","Mannen","65 j. e.o.",332
"Bedrijfshoofden Landbouw","DRENTHE","Mannen","65 j. e.o.",2193
"Bedrijfshoofden Winkels","DRENTHE","Mannen","65 j. e.o.",115
"Bedrijfshoofden Overige","DRENTHE","Mannen","65 j. e.o.",249
"Medew.gezinsleden","DRENTHE","Mannen","65 j. e.o.",1
"Vrije beroepen","DRENTHE","Mannen","65 j. e.o.",14
"Employé's","DRENTHE","Mannen","65 j. e.o.",98
"Landbouwarbeiders","DRENTHE","Mannen","65 j. e.o.",400
"Overige handarbeiders ","DRENTHE","Mannen","65 j. e.o.",487
"Totaal","DRENTHE","Mannen","65 j. e.o.",3889
"Bedrijfshoofden Nijverheid","OVERIJSSEL","Mannen","65 j. e.o.",945
"Bedrijfshoofden Landbouw","OVERIJSSEL","Mannen","65 j. e.o.",4431
"Bedrijfshoofden Winkels","OVERIJSSEL","Mannen","65 j. e.o.",405
"Bedrijfshoofden Overige","OVERIJSSEL","Mannen","65 j. e.o.",623
"Medew.gezinsleden","OVERIJSSEL","Mannen","65 j. e.o.",9
"Vrije beroepen","OVERIJSSEL","Mannen","65 j. e.o.",79
"Employé's","OVERIJSSEL","Mannen","65 j. e.o.",322
"Landbouwarbeiders","OVERIJSSEL","Mannen","65 j. e.o.",735
"Overige handarbeiders ","OVERIJSSEL","Mannen","65 j. e.o.",1440
"Totaal","OVERIJSSEL","Mannen","65 j. e.o.",8989
"Bedrijfshoofden Nijverheid","GELDERLAND","Mannen","65 j. e.o.",1782
"Bedrijfshoofden Landbouw","GELDERLAND","Mannen","65 j. e.o.",7762
"Bedrijfshoofden Winkels","GELDERLAND","Mannen","65 j. e.o.",535
"Bedrijfshoofden Overige","GELDERLAND","Mannen","65 j. e.o.",1053
"Medew.gezinsleden","GELDERLAND","Mannen","65 j. e.o.",12
"Vrije beroepen","GELDERLAND","Mannen","65 j. e.o.",202
"Employé's","GELDERLAND","Mannen","65 j. e.o.",825
"Landbouwarbeiders","GELDERLAND","Mannen","65 j. e.o.",1469
"Overige handarbeiders ","GELDERLAND","Mannen","65 j. e.o.",2075
"Totaal","GELDERLAND","Mannen","65 j. e.o.",15715
"Bedrijfshoofden Nijverheid","UTRECHT","Mannen","65 j. e.o.",766
"Bedrijfshoofden Landbouw","UTRECHT","Mannen","65 j. e.o.",1085
"Bedrijfshoofden Winkels","UTRECHT","Mannen","65 j. e.o.",316
"Bedrijfshoofden Overige","UTRECHT","Mannen","65 j. e.o.",655
"Medew.gezinsleden","UTRECHT","Mannen","65 j. e.o.",0
"Vrije beroepen","UTRECHT","Mannen","65 j. e.o.",179
"Employé's","UTRECHT","Mannen","65 j. e.o.",534
"Landbouwarbeiders","UTRECHT","Mannen","65 j. e.o.",507
"Overige handarbeiders ","UTRECHT","Mannen","65 j. e.o.",1185
"Totaal","UTRECHT","Mannen","65 j. e.o.",5227
"Bedrijfshoofden Nijverheid","NOORDHOLLAND","Mannen","65 j. e.o.",2551
"Bedrijfshoofden Landbouw","NOORDHOLLAND","Mannen","65 j. e.o.",2840
"Bedrijfshoofden Winkels","NOORDHOLLAND","Mannen","65 j. e.o.",1080
"Bedrijfshoofden Nijverheid","GRONINGEN","Mannen","65 j. e.o.",816
"Bedrijfshoofden Overige","NOORDHOLLAND","Mannen","65 j. e.o.",2610
"Medew.gezinsleden","NOORDHOLLAND","Mannen","65 j. e.o.",10
"Vrije beroepen","NOORDHOLLAND","Mannen","65 j. e.o.",573
"Employé's","NOORDHOLLAND","Mannen","65 j. e.o.",2043
"Landbouwarbeiders","NOORDHOLLAND","Mannen","65 j. e.o.",1106
"Overige handarbeiders ","NOORDHOLLAND","Mannen","65 j. e.o.",4781
"Totaal","NOORDHOLLAND","Mannen","65 j. e.o.",17594
"Bedrijfshoofden Nijverheid","ZUIDHOLLAND","Mannen","65 j. e.o.",3212
"Bedrijfshoofden Landbouw","ZUIDHOLLAND","Mannen","65 j. e.o.",3485
"Bedrijfshoofden Winkels","ZUIDHOLLAND","Mannen","65 j. e.o.",1400
"Bedrijfshoofden Landbouw","GRONINGEN","Mannen","65 j. e.o.",1569
"Bedrijfshoofden Overige","ZUIDHOLLAND","Mannen","65 j. e.o.",3072
"Medew.gezinsleden","ZUIDHOLLAND","Mannen","65 j. e.o.",7
"Vrije beroepen","ZUIDHOLLAND","Mannen","65 j. e.o.",787
"Employé's","ZUIDHOLLAND","Mannen","65 j. e.o.",2564
"Landbouwarbeiders","ZUIDHOLLAND","Mannen","65 j. e.o.",2367
"Overige handarbeiders ","ZUIDHOLLAND","Mannen","65 j. e.o.",6272
"Totaal","ZUIDHOLLAND","Mannen","65 j. e.o.",23166
"Bedrijfshoofden Nijverheid","ZEELAND","Mannen","65 j. e.o.",545
"Bedrijfshoofden Landbouw","ZEELAND","Mannen","65 j. e.o.",1803
"Bedrijfshoofden Winkels","ZEELAND","Mannen","65 j. e.o.",219
"Bedrijfshoofden Winkels","GRONINGEN","Mannen","65 j. e.o.",276
"Bedrijfshoofden Overige","ZEELAND","Mannen","65 j. e.o.",472
"Medew.gezinsleden","ZEELAND","Mannen","65 j. e.o.",2
"Vrije beroepen","ZEELAND","Mannen","65 j. e.o.",39
"Employé's","ZEELAND","Mannen","65 j. e.o.",193
"Landbouwarbeiders","ZEELAND","Mannen","65 j. e.o.",1238
"Overige handarbeiders ","ZEELAND","Mannen","65 j. e.o.",569
"Totaal","ZEELAND","Mannen","65 j. e.o.",5080
"Bedrijfshoofden Nijverheid","NOORDBRABANT","Mannen","65 j. e.o.",1575
"Bedrijfshoofden Landbouw","NOORDBRABANT","Mannen","65 j. e.o.",5616
"Bedrijfshoofden Winkels","NOORDBRABANT","Mannen","65 j. e.o.",596
"Bedrijfshoofden Overige","GRONINGEN","Vrouwen","14-20 jaar",1
"Bedrijfshoofden Overige","NOORDBRABANT","Vrouwen","14-20 jaar",5
"Medew.gezinsleden","NOORDBRABANT","Vrouwen","14-20 jaar",9096
"Vrije beroepen","NOORDBRABANT","Vrouwen","14-20 jaar",16
"Employé's","NOORDBRABANT","Vrouwen","14-20 jaar",6751
"Landbouwarbeiders","NOORDBRABANT","Vrouwen","14-20 jaar",558
"Overige handarbeiders ","NOORDBRABANT","Vrouwen","14-20 jaar",21577
"Totaal","NOORDBRABANT","Vrouwen","14-20 jaar",38366
"Bedrijfshoofden Nijverheid","LIMBURG","Vrouwen","14-20 jaar",302
"Bedrijfshoofden Landbouw","LIMBURG","Vrouwen","14-20 jaar",11
"Bedrijfshoofden Winkels","LIMBURG","Vrouwen","14-20 jaar",7
"Medew.gezinsleden","GRONINGEN","Vrouwen","14-20 jaar",1446
"Bedrijfshoofden Overige","LIMBURG","Vrouwen","14-20 jaar",4
"Medew.gezinsleden","LIMBURG","Vrouwen","14-20 jaar",5430
"Vrije beroepen","LIMBURG","Vrouwen","14-20 jaar",4
"Employé's","LIMBURG","Vrouwen","14-20 jaar",3517
"Landbouwarbeiders","LIMBURG","Vrouwen","14-20 jaar",267
"Overige handarbeiders ","LIMBURG","Vrouwen","14-20 jaar",10562
"Totaal","LIMBURG","Vrouwen","14-20 jaar",20104
"Bedrijfshoofden Nijverheid","AMSTERDAM","Vrouwen","14-20 jaar",63
"Bedrijfshoofden Landbouw","AMSTERDAM","Vrouwen","14-20 jaar",0
"Bedrijfshoofden Winkels","AMSTERDAM","Vrouwen","14-20 jaar",2
"Vrije beroepen","GRONINGEN","Vrouwen","14-20 jaar",9
"Bedrijfshoofden Overige","AMSTERDAM","Vrouwen","14-20 jaar",0
"Medew.gezinsleden","AMSTERDAM","Vrouwen","14-20 jaar",577
"Vrije beroepen","AMSTERDAM","Vrouwen","14-20 jaar",49
"Employé's","AMSTERDAM","Vrouwen","14-20 jaar",8806
"Landbouwarbeiders","AMSTERDAM","Vrouwen","14-20 jaar",6
"Overige handarbeiders ","AMSTERDAM","Vrouwen","14-20 jaar",13192
"Totaal","AMSTERDAM","Vrouwen","14-20 jaar",22695
"Bedrijfshoofden Nijverheid","ROTTERDAM","Vrouwen","14-20 jaar",81
"Bedrijfshoofden Landbouw","ROTTERDAM","Vrouwen","14-20 jaar",0
"Bedrijfshoofden Winkels","ROTTERDAM","Vrouwen","14-20 jaar",0
"Employé's","GRONINGEN","Vrouwen","14-20 jaar",3237
"Bedrijfshoofden Overige","ROTTERDAM","Vrouwen","14-20 jaar",2
"Medew.gezinsleden","ROTTERDAM","Vrouwen","14-20 jaar",431
"Vrije beroepen","ROTTERDAM","Vrouwen","14-20 jaar",9
"Employé's","ROTTERDAM","Vrouwen","14-20 jaar",7815
"Landbouwarbeiders","ROTTERDAM","Vrouwen","14-20 jaar",16
"Overige handarbeiders ","ROTTERDAM","Vrouwen","14-20 jaar",9227
"Totaal","ROTTERDAM","Vrouwen","14-20 jaar",17581
"Bedrijfshoofden Nijverheid","s-Gravenhage","Vrouwen","14-20 jaar",41
"Bedrijfshoofden Landbouw","s-Gravenhage","Vrouwen","14-20 jaar",0
"Bedrijfshoofden Winkels","s-Gravenhage","Vrouwen","14-20 jaar",1
"Landbouwarbeiders","GRONINGEN","Vrouwen","14-20 jaar",190
"Bedrijfshoofden Overige","s-Gravenhage","Vrouwen","14-20 jaar",4
"Medew.gezinsleden","s-Gravenhage","Vrouwen","14-20 jaar",329
"Vrije beroepen","s-Gravenhage","Vrouwen","14-20 jaar",31
"Employé's","s-Gravenhage","Vrouwen","14-20 jaar",7400
"Landbouwarbeiders","s-Gravenhage","Vrouwen","14-20 jaar",0
"Overige handarbeiders ","s-Gravenhage","Vrouwen","14-20 jaar",5565
"Totaal","s-Gravenhage","Vrouwen","14-20 jaar",13371
"Bedrijfshoofden Nijverheid","UTRECHT","Vrouwen","14-20 jaar",12
"Bedrijfshoofden Landbouw","UTRECHT","Vrouwen","14-20 jaar",0
"Bedrijfshoofden Winkels","UTRECHT","Vrouwen","14-20 jaar",1
"Overige handarbeiders ","GRONINGEN","Vrouwen","14-20 jaar",7645
"Bedrijfshoofden Overige","UTRECHT","Vrouwen","14-20 jaar",0
"Medew.gezinsleden","UTRECHT","Vrouwen","14-20 jaar",181
"Vrije beroepen","UTRECHT","Vrouwen","14-20 jaar",5
"Employé's","UTRECHT","Vrouwen","14-20 jaar",2104
"Landbouwarbeiders","UTRECHT","Vrouwen","14-20 jaar",3
"Overige handarbeiders ","UTRECHT","Vrouwen","14-20 jaar",2579
"Totaal","UTRECHT","Vrouwen","14-20 jaar",4885
"Totaal","GRONINGEN","Vrouwen","14-20 jaar",12621
"Bedrijfshoofden Nijverheid","FRIESLAND","Vrouwen","14-20 jaar",60
"Bedrijfshoofden Landbouw","FRIESLAND","Vrouwen","14-20 jaar",1
"Bedrijfshoofden Winkels","FRIESLAND","Vrouwen","14-20 jaar",0
"Bedrijfshoofden Overige","FRIESLAND","Vrouwen","14-20 jaar",3
"Medew.gezinsleden","FRIESLAND","Vrouwen","14-20 jaar",2649
"Vrije beroepen","FRIESLAND","Vrouwen","14-20 jaar",3
"Employé's","FRIESLAND","Vrouwen","14-20 jaar",2173
"Landbouwarbeiders","FRIESLAND","Vrouwen","14-20 jaar",699
"Overige handarbeiders ","FRIESLAND","Vrouwen","14-20 jaar",6630
"Totaal","FRIESLAND","Vrouwen","14-20 jaar",12218
"Bedrijfshoofden Nijverheid","DRENTHE","Vrouwen","14-20 jaar",40
"Bedrijfshoofden Landbouw","DRENTHE","Vrouwen","14-20 jaar",3
"Bedrijfshoofden Winkels","DRENTHE","Vrouwen","14-20 jaar",0
"Bedrijfshoofden Overige","DRENTHE","Vrouwen","14-20 jaar",2
"Medew.gezinsleden","DRENTHE","Vrouwen","14-20 jaar",2972
"Vrije beroepen","DRENTHE","Vrouwen","14-20 jaar",4
"Employé's","DRENTHE","Vrouwen","14-20 jaar",1205
"Landbouwarbeiders","DRENTHE","Vrouwen","14-20 jaar",365
"Overige handarbeiders ","DRENTHE","Vrouwen","14-20 jaar",4173
"Totaal","DRENTHE","Vrouwen","14-20 jaar",8764
"Bedrijfshoofden Nijverheid","OVERIJSSEL","Vrouwen","14-20 jaar",81
"Bedrijfshoofden Landbouw","OVERIJSSEL","Vrouwen","14-20 jaar",6
"Bedrijfshoofden Winkels","OVERIJSSEL","Vrouwen","14-20 jaar",1
"Bedrijfshoofden Overige","OVERIJSSEL","Vrouwen","14-20 jaar",1
"Medew.gezinsleden","OVERIJSSEL","Vrouwen","14-20 jaar",4925
"Vrije beroepen","OVERIJSSEL","Vrouwen","14-20 jaar",6
"Employé's","OVERIJSSEL","Vrouwen","14-20 jaar",4182
"Landbouwarbeiders","OVERIJSSEL","Vrouwen","14-20 jaar",450
"Overige handarbeiders ","OVERIJSSEL","Vrouwen","14-20 jaar",13381
"Totaal","OVERIJSSEL","Vrouwen","14-20 jaar",23033
"Bedrijfshoofden Nijverheid","GELDERLAND","Vrouwen","14-20 jaar",139
"Bedrijfshoofden Landbouw","GELDERLAND","Vrouwen","14-20 jaar",9
"Bedrijfshoofden Winkels","GELDERLAND","Vrouwen","14-20 jaar",2
"Bedrijfshoofden Overige","GELDERLAND","Vrouwen","14-20 jaar",3
"Medew.gezinsleden","GELDERLAND","Vrouwen","14-20 jaar",6745
"Vrije beroepen","GELDERLAND","Vrouwen","14-20 jaar",16
"Employé's","GELDERLAND","Vrouwen","14-20 jaar",6359
"Landbouwarbeiders","GELDERLAND","Vrouwen","14-20 jaar",452
"Overige handarbeiders ","GELDERLAND","Vrouwen","14-20 jaar",17219
"Totaal","GELDERLAND","Vrouwen","14-20 jaar",30944
"Bedrijfshoofden Nijverheid","UTRECHT","Vrouwen","14-20 jaar",66
"Bedrijfshoofden Landbouw","UTRECHT","Vrouwen","14-20 jaar",1
"Bedrijfshoofden Winkels","UTRECHT","Vrouwen","14-20 jaar",3
"Bedrijfshoofden Overige","UTRECHT","Vrouwen","14-20 jaar",0
"Medew.gezinsleden","UTRECHT","Vrouwen","14-20 jaar",1734
"Vrije beroepen","UTRECHT","Vrouwen","14-20 jaar",12
"Employé's","UTRECHT","Vrouwen","14-20 jaar",4663
"Landbouwarbeiders","UTRECHT","Vrouwen","14-20 jaar",229
"Overige handarbeiders ","UTRECHT","Vrouwen","14-20 jaar",8196
"Totaal","UTRECHT","Vrouwen","14-20 jaar",14904
"Bedrijfshoofden Nijverheid","NOORDHOLLAND","Vrouwen","14-20 jaar",202
"Bedrijfshoofden Landbouw","NOORDHOLLAND","Vrouwen","14-20 jaar",2
"Bedrijfshoofden Winkels","NOORDHOLLAND","Vrouwen","14-20 jaar",5
"Bedrijfshoofden Nijverheid","GRONINGEN","Vrouwen","14-20 jaar",88
"Bedrijfshoofden Overige","NOORDHOLLAND","Vrouwen","14-20 jaar",4
"Medew.gezinsleden","NOORDHOLLAND","Vrouwen","14-20 jaar",2922
"Vrije beroepen","NOORDHOLLAND","Vrouwen","14-20 jaar",71
"Employé's","NOORDHOLLAND","Vrouwen","14-20 jaar",16485
"Landbouwarbeiders","NOORDHOLLAND","Vrouwen","14-20 jaar",62
"Overige handarbeiders ","NOORDHOLLAND","Vrouwen","14-20 jaar",26583
"Totaal","NOORDHOLLAND","Vrouwen","14-20 jaar",46336
"Bedrijfshoofden Nijverheid","ZUIDHOLLAND","Vrouwen","14-20 jaar",292
"Bedrijfshoofden Landbouw","ZUIDHOLLAND","Vrouwen","14-20 jaar",2
"Bedrijfshoofden Winkels","ZUIDHOLLAND","Vrouwen","14-20 jaar",7
"Bedrijfshoofden Landbouw","GRONINGEN","Vrouwen","14-20 jaar",3
"Bedrijfshoofden Overige","ZUIDHOLLAND","Vrouwen","14-20 jaar",8
"Medew.gezinsleden","ZUIDHOLLAND","Vrouwen","14-20 jaar",4106
"Vrije beroepen","ZUIDHOLLAND","Vrouwen","14-20 jaar",51
"Employé's","ZUIDHOLLAND","Vrouwen","14-20 jaar",23762
"Landbouwarbeiders","ZUIDHOLLAND","Vrouwen","14-20 jaar",342
"Overige handarbeiders ","ZUIDHOLLAND","Vrouwen","14-20 jaar",32165
"Totaal","ZUIDHOLLAND","Vrouwen","14-20 jaar",60735
"Bedrijfshoofden Nijverheid","ZEELAND","Vrouwen","14-20 jaar",27
"Bedrijfshoofden Landbouw","ZEELAND","Vrouwen","14-20 jaar",0
"Bedrijfshoofden Winkels","ZEELAND","Vrouwen","14-20 jaar",2
"Bedrijfshoofden Winkels","GRONINGEN","Vrouwen","14-20 jaar",2
"Bedrijfshoofden Overige","ZEELAND","Vrouwen","14-20 jaar",3
"Medew.gezinsleden","ZEELAND","Vrouwen","14-20 jaar",1697
"Vrije beroepen","ZEELAND","Vrouwen","14-20 jaar",6
"Employé's","ZEELAND","Vrouwen","14-20 jaar",1292
"Landbouwarbeiders","ZEELAND","Vrouwen","14-20 jaar",395
"Overige handarbeiders ","ZEELAND","Vrouwen","14-20 jaar",2990
"Totaal","ZEELAND","Vrouwen","14-20 jaar",6412
"Bedrijfshoofden Nijverheid","NOORDBRABANT","Vrouwen","14-20 jaar",343
"Bedrijfshoofden Landbouw","NOORDBRABANT","Vrouwen","14-20 jaar",10
"Bedrijfshoofden Winkels","NOORDBRABANT","Vrouwen","14-20 jaar",10
"Bedrijfshoofden Overige","GRONINGEN","Vrouwen","21-24 jaar",2
"Bedrijfshoofden Overige","NOORDBRABANT","Vrouwen","21-24 jaar",14
"Medew.gezinsleden","NOORDBRABANT","Vrouwen","21-24 jaar",4882
"Vrije beroepen","NOORDBRABANT","Vrouwen","21-24 jaar",16
"Employé's","NOORDBRABANT","Vrouwen","21-24 jaar",5096
"Landbouwarbeiders","NOORDBRABANT","Vrouwen","21-24 jaar",225
"Overige handarbeiders ","NOORDBRABANT","Vrouwen","21-24 jaar",9440
"Totaal","NOORDBRABANT","Vrouwen","21-24 jaar",20011
"Bedrijfshoofden Nijverheid","LIMBURG","Vrouwen","21-24 jaar",324
"Bedrijfshoofden Landbouw","LIMBURG","Vrouwen","21-24 jaar",28
"Bedrijfshoofden Winkels","LIMBURG","Vrouwen","21-24 jaar",20
"Medew.gezinsleden","GRONINGEN","Vrouwen","21-24 jaar",897
"Bedrijfshoofden Overige","LIMBURG","Vrouwen","21-24 jaar",4
"Medew.gezinsleden","LIMBURG","Vrouwen","21-24 jaar",3023
"Vrije beroepen","LIMBURG","Vrouwen","21-24 jaar",8
"Employé's","LIMBURG","Vrouwen","21-24 jaar",2630
"Landbouwarbeiders","LIMBURG","Vrouwen","21-24 jaar",130
"Overige handarbeiders ","LIMBURG","Vrouwen","21-24 jaar",4378
"Totaal","LIMBURG","Vrouwen","21-24 jaar",10545
"Bedrijfshoofden Nijverheid","AMSTERDAM","Vrouwen","21-24 jaar",138
"Bedrijfshoofden Landbouw","AMSTERDAM","Vrouwen","21-24 jaar",0
"Bedrijfshoofden Winkels","AMSTERDAM","Vrouwen","21-24 jaar",14
"Vrije beroepen","GRONINGEN","Vrouwen","21-24 jaar",3
"Bedrijfshoofden Overige","AMSTERDAM","Vrouwen","21-24 jaar",27
"Medew.gezinsleden","AMSTERDAM","Vrouwen","21-24 jaar",421
"Vrije beroepen","AMSTERDAM","Vrouwen","21-24 jaar",89
"Employé's","AMSTERDAM","Vrouwen","21-24 jaar",6838
"Landbouwarbeiders","AMSTERDAM","Vrouwen","21-24 jaar",3
"Overige handarbeiders ","AMSTERDAM","Vrouwen","21-24 jaar",6839
"Totaal","AMSTERDAM","Vrouwen","21-24 jaar",14369
"Bedrijfshoofden Nijverheid","ROTTERDAM","Vrouwen","21-24 jaar",166
"Bedrijfshoofden Landbouw","ROTTERDAM","Vrouwen","21-24 jaar",0
"Bedrijfshoofden Winkels","ROTTERDAM","Vrouwen","21-24 jaar",8
"Employé's","GRONINGEN","Vrouwen","21-24 jaar",2426
"Bedrijfshoofden Overige","ROTTERDAM","Vrouwen","21-24 jaar",5
"Medew.gezinsleden","ROTTERDAM","Vrouwen","21-24 jaar",338
"Vrije beroepen","ROTTERDAM","Vrouwen","21-24 jaar",20
"Employé's","ROTTERDAM","Vrouwen","21-24 jaar",4883
"Landbouwarbeiders","ROTTERDAM","Vrouwen","21-24 jaar",3
"Overige handarbeiders ","ROTTERDAM","Vrouwen","21-24 jaar",4093
"Totaal","ROTTERDAM","Vrouwen","21-24 jaar",9516
"Bedrijfshoofden Nijverheid","s-Gravenhage","Vrouwen","21-24 jaar",83
"Bedrijfshoofden Landbouw","s-Gravenhage","Vrouwen","21-24 jaar",1
"Bedrijfshoofden Winkels","s-Gravenhage","Vrouwen","21-24 jaar",4
"Landbouwarbeiders","GRONINGEN","Vrouwen","21-24 jaar",89
"Bedrijfshoofden Overige","s-Gravenhage","Vrouwen","21-24 jaar",7
"Medew.gezinsleden","s-Gravenhage","Vrouwen","21-24 jaar",257
"Vrije beroepen","s-Gravenhage","Vrouwen","21-24 jaar",48
"Employé's","s-Gravenhage","Vrouwen","21-24 jaar",5876
"Landbouwarbeiders","s-Gravenhage","Vrouwen","21-24 jaar",0
"Overige handarbeiders ","s-Gravenhage","Vrouwen","21-24 jaar",3118
"Totaal","s-Gravenhage","Vrouwen","21-24 jaar",9394
"Bedrijfshoofden Nijverheid","UTRECHT","Vrouwen","21-24 jaar",18
"Bedrijfshoofden Landbouw","UTRECHT","Vrouwen","21-24 jaar",0
"Bedrijfshoofden Winkels","UTRECHT","Vrouwen","21-24 jaar",4
"Overige handarbeiders ","GRONINGEN","Vrouwen","21-24 jaar",3070
"Bedrijfshoofden Overige","UTRECHT","Vrouwen","21-24 jaar",2
"Medew.gezinsleden","UTRECHT","Vrouwen","21-24 jaar",149
"Vrije beroepen","UTRECHT","Vrouwen","21-24 jaar",5
"Employé's","UTRECHT","Vrouwen","21-24 jaar",1834
"Landbouwarbeiders","UTRECHT","Vrouwen","21-24 jaar",3
"Overige handarbeiders ","UTRECHT","Vrouwen","21-24 jaar",1511
"Totaal","UTRECHT","Vrouwen","21-24 jaar",3526
"Totaal","GRONINGEN","Vrouwen","21-24 jaar",6598
"Bedrijfshoofden Nijverheid","FRIESLAND","Vrouwen","21-24 jaar",70
"Bedrijfshoofden Landbouw","FRIESLAND","Vrouwen","21-24 jaar",1
"Bedrijfshoofden Winkels","FRIESLAND","Vrouwen","21-24 jaar",2
"Bedrijfshoofden Overige","FRIESLAND","Vrouwen","21-24 jaar",2
"Medew.gezinsleden","FRIESLAND","Vrouwen","21-24 jaar",1370
"Vrije beroepen","FRIESLAND","Vrouwen","21-24 jaar",4
"Employé's","FRIESLAND","Vrouwen","21-24 jaar",1590
"Landbouwarbeiders","FRIESLAND","Vrouwen","21-24 jaar",232
"Overige handarbeiders ","FRIESLAND","Vrouwen","21-24 jaar",2624
"Totaal","FRIESLAND","Vrouwen","21-24 jaar",5895
"Bedrijfshoofden Nijverheid","DRENTHE","Vrouwen","21-24 jaar",46
"Bedrijfshoofden Landbouw","DRENTHE","Vrouwen","21-24 jaar",7
"Bedrijfshoofden Winkels","DRENTHE","Vrouwen","21-24 jaar",0
"Bedrijfshoofden Overige","DRENTHE","Vrouwen","21-24 jaar",0
"Medew.gezinsleden","DRENTHE","Vrouwen","21-24 jaar",1583
"Vrije beroepen","DRENTHE","Vrouwen","21-24 jaar",2
"Employé's","DRENTHE","Vrouwen","21-24 jaar",949
