"age_c" "gender_c" "occupation_c" "population"
"1955" "16 to 17" "Male" "Fabricage van verduurzaamde levensmiddelen" 1
"1956" "36 to 50" "Male" "Fabricage van verduurzaamde levensmiddelen" 1
"1957" "16 to 17" "Male" "Fabricage van verfstoffen" 1
"1958" "18 to 22" "Male" "Fabricage van verfstoffen" 2
"1959" "25 to 35" "Male" "Fabricage van verfstoffen" 2
"1960" "36 to 50" "Male" "Fabricage van verfstoffen" 3
"1961" "51 to 60" "Male" "Fabricage van verfstoffen" 1
"1962" "16 to 17" "Male" "Fabricage van vernis" 2
"1963" "18 to 22" "Male" "Fabricage van vernis" 4
"1964" "23 to 24" "Male" "Fabricage van vernis" 2
"1965" "25 to 35" "Male" "Fabricage van vernis" 9
"1966" "36 to 50" "Male" "Fabricage van vernis" 10
"1967" "51 to 60" "Male" "Fabricage van vernis" 6
"1968" "61 to 65" "Male" "Fabricage van vernis" 2
"1969" "66 to 70" "Male" "Fabricage van vernis" 2
"1970" "36 to 50" "Male" "Fabricage van viltwaren" 1
"1971" "12" "Male" "Fabricage van vlas" 1
"1972" "13" "Male" "Fabricage van vlas" 3
"1973" "14 to 15" "Male" "Fabricage van vlas" 4
"1974" "16 to 17" "Male" "Fabricage van vlas" 4
"1975" "18 to 22" "Male" "Fabricage van vlas" 8
"1976" "25 to 35" "Male" "Fabricage van vlas" 14
"1977" "36 to 50" "Male" "Fabricage van vlas" 11
"1978" "51 to 60" "Male" "Fabricage van vlas" 11
"1979" "61 to 65" "Male" "Fabricage van vlas" 6
"1980" "66 to 70" "Male" "Fabricage van vlas" 2
"1981" "Older than 70" "Male" "Fabricage van vlas" 1
"1982" "14 to 15" "Female" "Fabricage van vlas" 2
"1983" "16 to 17" "Female" "Fabricage van vlas" 1
"1984" "18 to 22" "Female" "Fabricage van vlas" 7
"1985" "25 to 35" "Female" "Fabricage van vlas" 1
"1986" "14 to 15" "Male" "Fabricage van vleeschwaren" 2
"1987" "16 to 17" "Male" "Fabricage van vleeschwaren" 2
"1988" "18 to 22" "Male" "Fabricage van vleeschwaren" 1
"1989" "25 to 35" "Male" "Fabricage van vleeschwaren" 4
"1990" "36 to 50" "Male" "Fabricage van vleeschwaren" 5
"1991" "51 to 60" "Male" "Fabricage van vleeschwaren" 3
"1992" "36 to 50" "Male" "Fabricage van vruchtensappen" 1
"1993" "66 to 70" "Male" "Fabricage van vruchtensappen" 1
"1994" "18 to 22" "Male" "Fabricage van vuurmakers" 1
"1995" "25 to 35" "Male" "Fabricage van vuurmakers" 1
"1996" "51 to 60" "Male" "Fabricage van vuurmakers" 1
"1997" "18 to 22" "Male" "Fabricage van vuurwerk" 3
"1998" "25 to 35" "Male" "Fabricage van vuurwerk" 3
"1999" "36 to 50" "Male" "Fabricage van vuurwerk" 1
"2000" "61 to 65" "Male" "Fabricage van vuurwerk" 1
"2001" "66 to 70" "Male" "Fabricage van vuurwerk" 1
"2002" "12" "Male" "Fabricage van wagens (wagenmakers)" 2
"2003" "13" "Male" "Fabricage van wagens (wagenmakers)" 13
"2004" "14 to 15" "Male" "Fabricage van wagens (wagenmakers)" 29
"2005" "16 to 17" "Male" "Fabricage van wagens (wagenmakers)" 30
"2006" "18 to 22" "Male" "Fabricage van wagens (wagenmakers)" 57
"2007" "23 to 24" "Male" "Fabricage van wagens (wagenmakers)" 22
"2008" "25 to 35" "Male" "Fabricage van wagens (wagenmakers)" 92
"2009" "36 to 50" "Male" "Fabricage van wagens (wagenmakers)" 110
"2010" "51 to 60" "Male" "Fabricage van wagens (wagenmakers)" 39
"2011" "61 to 65" "Male" "Fabricage van wagens (wagenmakers)" 26
"2012" "66 to 70" "Male" "Fabricage van wagens (wagenmakers)" 13
"2013" "Older than 70" "Male" "Fabricage van wagens (wagenmakers)" 2
"2014" "25 to 35" "Female" "Fabricage van wagens (wagenmakers)" 1
"2015" "51 to 60" "Female" "Fabricage van wagens (wagenmakers)" 1
"2016" "16 to 17" "Male" "Fabricage van wagensmeer" 1
"2017" "25 to 35" "Male" "Fabricage van wagensmeer" 2
"2018" "36 to 50" "Male" "Fabricage van wagensmeer" 1
"2019" "14 to 15" "Male" "Fabricage van watten" 1
"2020" "18 to 22" "Male" "Fabricage van watten" 1
"2021" "25 to 35" "Male" "Fabricage van watten" 2
"2022" "36 to 50" "Male" "Fabricage van watten" 2
"2023" "51 to 60" "Male" "Fabricage van watten" 1
"2024" "13" "Female" "Fabricage van watten" 1
"2025" "36 to 50" "Female" "Fabricage van watten" 2
"2026" "61 to 65" "Female" "Fabricage van watten" 1
"2027" "12" "Male" "Fabricage van wol en wollen stoffen" 1
"2028" "25 to 35" "Male" "Fabricage van wol en wollen stoffen" 2
"2029" "36 to 50" "Male" "Fabricage van wol en wollen stoffen" 3
"2030" "51 to 60" "Male" "Fabricage van wol en wollen stoffen" 2
"2031" "13" "Female" "Fabricage van wol en wollen stoffen" 1
"2032" "51 to 60" "Male" "Fabricage van zeildoek" 1
"2033" "25 to 35" "Female" "Fabricage van zeildoek" 1
"2034" "61 to 65" "Female" "Fabricage van zeildoek" 1
"2035" "51 to 60" "Male" "Fabricage van zijde" 1
"2036" "16 to 17" "Male" "Fabricage van zink- en zinkwaren" 2
"2037" "18 to 22" "Male" "Fabricage van zink- en zinkwaren" 6
"2038" "23 to 24" "Male" "Fabricage van zink- en zinkwaren" 2
"2039" "25 to 35" "Male" "Fabricage van zink- en zinkwaren" 7
"2040" "36 to 50" "Male" "Fabricage van zink- en zinkwaren" 5
"2041" "51 to 60" "Male" "Fabricage van zink- en zinkwaren" 3
"2042" "61 to 65" "Male" "Fabricage van zink- en zinkwaren" 2
"2043" "18 to 22" "Male" "Fabricage van zinkwit" 3
"2044" "23 to 24" "Male" "Fabricage van zinkwit" 1
"2045" "12" "Male" "Fabricate van rieten meubelen" 1
"2046" "14 to 15" "Male" "Fabricate van rieten meubelen" 1
"2047" "16 to 17" "Male" "Fabricate van rieten meubelen" 2
"2048" "18 to 22" "Male" "Fabricate van rieten meubelen" 1
"2049" "25 to 35" "Male" "Fabricate van rieten meubelen" 5
"2050" "36 to 50" "Male" "Fabricate van rieten meubelen" 3
"2051" "51 to 60" "Male" "Fabricate van rieten meubelen" 2
"2052" "18 to 22" "Male" "Fineerzagers" 1
"2053" "25 to 35" "Male" "Fineerzagers" 4
"2054" "36 to 50" "Male" "Fineerzagers" 2
"2055" "51 to 60" "Male" "Fineerzagers" 2
"2056" "18 to 22" "Male" "Fundeeringmakers" 1
"2057" "25 to 35" "Male" "Fundeeringmakers" 4
"2058" "36 to 50" "Male" "Fundeeringmakers" 3
"2059" "61 to 65" "Male" "Fundeeringmakers" 2
"2060" "36 to 50" "Male" "Gaarkeukenhouders" 2
"2061" "51 to 60" "Male" "Gaarkeukenhouders" 1
"2062" "16 to 17" "Male" "Galvaniseerders" 2
"2063" "23 to 24" "Male" "Galvaniseerders" 1
"2064" "25 to 35" "Male" "Galvaniseerders" 3
"2065" "13" "Male" "Gasfitters" 3
"2066" "14 to 15" "Male" "Gasfitters" 12
"2067" "16 to 17" "Male" "Gasfitters" 12
"2068" "18 to 22" "Male" "Gasfitters" 35
"2069" "23 to 24" "Male" "Gasfitters" 13
"2070" "25 to 35" "Male" "Gasfitters" 104
"2071" "36 to 50" "Male" "Gasfitters" 94
"2072" "51 to 60" "Male" "Gasfitters" 22
"2073" "61 to 65" "Male" "Gasfitters" 8
"2074" "66 to 70" "Male" "Gasfitters" 4
"2075" "25 to 35" "Male" "Geldwisselaars" 1
"2076" "36 to 50" "Male" "Geldwisselaars" 3
"2077" "66 to 70" "Male" "Geldwisselaars" 1
"2078" "14 to 15" "Male" "Geweermakers" 3
"2079" "16 to 17" "Male" "Geweermakers" 2
"2080" "18 to 22" "Male" "Geweermakers" 3
"2081" "23 to 24" "Male" "Geweermakers" 1
"2082" "25 to 35" "Male" "Geweermakers" 8
"2083" "36 to 50" "Male" "Geweermakers" 8
"2084" "51 to 60" "Male" "Geweermakers" 3
"2085" "61 to 65" "Male" "Geweermakers" 3
"2086" "66 to 70" "Male" "Geweermakers" 3
"2087" "Older than 70" "Female" "Geweermakers" 1
"2088" "18 to 22" "Male" "Gezagvoerders" 3
"2089" "23 to 24" "Male" "Gezagvoerders" 3
"2090" "25 to 35" "Male" "Gezagvoerders" 66
"2091" "36 to 50" "Male" "Gezagvoerders" 146
"2092" "51 to 60" "Male" "Gezagvoerders" 42
"2093" "61 to 65" "Male" "Gezagvoerders" 6
"2094" "66 to 70" "Male" "Gezagvoerders" 5
"2095" "Older than 70" "Male" "Gezagvoerders" 1
"2096" "13" "Male" "Glasblazers" 5
"2097" "14 to 15" "Male" "Glasblazers" 5
"2098" "16 to 17" "Male" "Glasblazers" 7
"2099" "18 to 22" "Male" "Glasblazers" 8
"2100" "23 to 24" "Male" "Glasblazers" 3
"2101" "25 to 35" "Male" "Glasblazers" 10
"2102" "36 to 50" "Male" "Glasblazers" 11
"2103" "51 to 60" "Male" "Glasblazers" 4
"2104" "61 to 65" "Male" "Glasblazers" 3
"2105" "66 to 70" "Male" "Glasblazers" 2
"2106" "16 to 17" "Female" "Glasblazers" 2
"2107" "18 to 22" "Female" "Glasblazers" 1
"2108" "36 to 50" "Male" "Glasschilders" 1
"2109" "51 to 60" "Male" "Glasschilders" 1
"2110" "16 to 17" "Male" "Glazenmakers" 2
"2111" "18 to 22" "Male" "Glazenmakers" 4
"2112" "25 to 35" "Male" "Glazenmakers" 5
"2113" "36 to 50" "Male" "Glazenmakers" 3
"2114" "51 to 60" "Male" "Glazenmakers" 2
"2115" "61 to 65" "Male" "Glazenmakers" 3
"2116" "66 to 70" "Male" "Glazenmakers" 2
"2117" "13" "Male" "Glazenwasschers" 1
"2118" "16 to 17" "Male" "Glazenwasschers" 1
"2119" "18 to 22" "Male" "Glazenwasschers" 7
"2120" "23 to 24" "Male" "Glazenwasschers" 11
"2121" "25 to 35" "Male" "Glazenwasschers" 86
"2122" "36 to 50" "Male" "Glazenwasschers" 23
"2123" "51 to 60" "Male" "Glazenwasschers" 5
"2124" "61 to 65" "Male" "Glazenwasschers" 1
"2125" "66 to 70" "Male" "Glazenwasschers" 1
"2126" "Older than 70" "Male" "Glazenwasschers" 1
"2127" "12" "Male" "Goudsmeden" 9
"2128" "13" "Male" "Goudsmeden" 21
"2129" "14 to 15" "Male" "Goudsmeden" 41
"2130" "16 to 17" "Male" "Goudsmeden" 35
"2131" "18 to 22" "Male" "Goudsmeden" 90
"2132" "23 to 24" "Male" "Goudsmeden" 28
"2133" "25 to 35" "Male" "Goudsmeden" 161
"2134" "36 to 50" "Male" "Goudsmeden" 144
"2135" "51 to 60" "Male" "Goudsmeden" 90
"2136" "61 to 65" "Male" "Goudsmeden" 28
"2137" "66 to 70" "Male" "Goudsmeden" 20
"2138" "Older than 70" "Male" "Goudsmeden" 8
"2139" "18 to 22" "Female" "Goudsmeden" 3
"2140" "23 to 24" "Female" "Goudsmeden" 1
"2141" "51 to 60" "Female" "Goudsmeden" 3
"2142" "Older than 70" "Female" "Goudsmeden" 1
"2143" "25 to 35" "Male" "Graanfactoren" 11
"2144" "36 to 50" "Male" "Graanfactoren" 12
"2145" "51 to 60" "Male" "Graanfactoren" 8
"2146" "61 to 65" "Male" "Graanfactoren" 3
"2147" "Older than 70" "Male" "Graanfactoren" 1
"2148" "14 to 15" "Male" "Gradeerwerkers" 1
"2149" "25 to 35" "Male" "Gradeerwerkers" 2
"2150" "36 to 50" "Male" "Gradeerwerkers" 2
"2151" "12" "Male" "Graveurs" 2
"2152" "13" "Male" "Graveurs" 1
"2153" "14 to 15" "Male" "Graveurs" 3
"2154" "16 to 17" "Male" "Graveurs" 5
"2155" "18 to 22" "Male" "Graveurs" 8
"2156" "23 to 24" "Male" "Graveurs" 4
"2157" "25 to 35" "Male" "Graveurs" 34
"2158" "36 to 50" "Male" "Graveurs" 41
"2159" "51 to 60" "Male" "Graveurs" 17
"2160" "61 to 65" "Male" "Graveurs" 4
"2161" "66 to 70" "Male" "Graveurs" 4
"2162" "Older than 70" "Male" "Graveurs" 3
"2163" "25 to 35" "Female" "Graveurs" 1
"2164" "16 to 17" "Male" "Grutters" 3
"2165" "18 to 22" "Male" "Grutters" 11
"2166" "23 to 24" "Male" "Grutters" 3
"2167" "25 to 35" "Male" "Grutters" 3
"2168" "36 to 50" "Male" "Grutters" 11
"2169" "51 to 60" "Male" "Grutters" 4
"2170" "66 to 70" "Male" "Grutters" 1
"2171" "Older than 70" "Male" "Grutters" 1
"2172" "36 to 50" "Female" "Grutters" 1
"2173" "13" "Male" "Haarwerkers" 2
"2174" "14 to 15" "Male" "Haarwerkers" 2
"2175" "16 to 17" "Male" "Haarwerkers" 3
"2176" "18 to 22" "Male" "Haarwerkers" 1
"2177" "25 to 35" "Male" "Haarwerkers" 4
"2178" "36 to 50" "Male" "Haarwerkers" 2
"2179" "51 to 60" "Male" "Haarwerkers" 3
"2180" "61 to 65" "Male" "Haarwerkers" 1
"2181" "14 to 15" "Female" "Haarwerkers" 2
"2182" "36 to 50" "Female" "Haarwerkers" 1
"2183" "61 to 65" "Male" "Hagelgieters" 1
"2184" "25 to 35" "Male" "Handelsmaatschappijen" 2
"2185" "36 to 50" "Male" "Handelsmaatschappijen" 2
"2186" "25 to 35" "Male" "Handschoenenwasschers" 1
"2187" "36 to 50" "Male" "Handschoenenwasschers" 1
"2188" "66 to 70" "Male" "Handschoenenwasschers" 1
"2189" "18 to 22" "Female" "Handschoenenwasschers" 2
"2190" "23 to 24" "Female" "Handschoenenwasschers" 3
"2191" "25 to 35" "Female" "Handschoenenwasschers" 2
"2192" "36 to 50" "Female" "Handschoenenwasschers" 5
"2193" "66 to 70" "Female" "Handschoenenwasschers" 2
"2194" "Older than 70" "Female" "Handschoenenwasschers" 1
"2195" "36 to 50" "Male" "Haringpakkers" 1
"2196" "13" "Male" "Haringvisschers" 1
"2197" "14 to 15" "Male" "Haringvisschers" 2
"2198" "16 to 17" "Male" "Haringvisschers" 2
"2199" "18 to 22" "Male" "Haringvisschers" 8
"2200" "23 to 24" "Male" "Haringvisschers" 1
"2201" "25 to 35" "Male" "Haringvisschers" 2
"2202" "36 to 50" "Male" "Haringvisschers" 1
"2203" "51 to 60" "Male" "Haringvisschers" 1
"2204" "18 to 22" "Male" "Heibazen" 2
"2205" "23 to 24" "Male" "Heibazen" 1
"2206" "25 to 35" "Male" "Heibazen" 7
"2207" "36 to 50" "Male" "Heibazen" 5
"2208" "51 to 60" "Male" "Heibazen" 9
"2209" "12" "Male" "Hoedenmakers" 1
"2210" "13" "Male" "Hoedenmakers" 3
"2211" "16 to 17" "Male" "Hoedenmakers" 4
"2212" "18 to 22" "Male" "Hoedenmakers" 17
"2213" "23 to 24" "Male" "Hoedenmakers" 7
"2214" "25 to 35" "Male" "Hoedenmakers" 35
"2215" "36 to 50" "Male" "Hoedenmakers" 65
"2216" "51 to 60" "Male" "Hoedenmakers" 39
"2217" "61 to 65" "Male" "Hoedenmakers" 10
"2218" "66 to 70" "Male" "Hoedenmakers" 6
"2219" "Older than 70" "Male" "Hoedenmakers" 3
"2220" "13" "Female" "Hoedenmakers" 1
"2221" "18 to 22" "Female" "Hoedenmakers" 2
"2222" "23 to 24" "Female" "Hoedenmakers" 1
"2223" "36 to 50" "Female" "Hoedenmakers" 3
"2224" "25 to 35" "Male" "Hoedenvormers" 1
"2225" "51 to 60" "Male" "Hoedenvormers" 1
"2226" "12" "Male" "Hoefsmeden" 2
"2227" "13" "Male" "Hoefsmeden" 3
"2228" "14 to 15" "Male" "Hoefsmeden" 13
"2229" "16 to 17" "Male" "Hoefsmeden" 15
"2230" "18 to 22" "Male" "Hoefsmeden" 39
"2231" "23 to 24" "Male" "Hoefsmeden" 10
"2232" "25 to 35" "Male" "Hoefsmeden" 38
"2233" "36 to 50" "Male" "Hoefsmeden" 44
"2234" "51 to 60" "Male" "Hoefsmeden" 5
"2235" "61 to 65" "Male" "Hoefsmeden" 6
"2236" "66 to 70" "Male" "Hoefsmeden" 1
"2237" "Older than 70" "Male" "Hoefsmeden" 2
"2238" "36 to 50" "Female" "Hoefsmeden" 1
"2239" "61 to 65" "Male" "Hoenderfokkers" 1
"2240" "14 to 15" "Male" "Hofmeesters op schepen" 7
"2241" "16 to 17" "Male" "Hofmeesters op schepen" 18
"2242" "18 to 22" "Male" "Hofmeesters op schepen" 55
"2243" "23 to 24" "Male" "Hofmeesters op schepen" 21
"2244" "25 to 35" "Male" "Hofmeesters op schepen" 101
"2245" "36 to 50" "Male" "Hofmeesters op schepen" 89
"2246" "51 to 60" "Male" "Hofmeesters op schepen" 20
"2247" "61 to 65" "Male" "Hofmeesters op schepen" 3
"2248" "Older than 70" "Male" "Hofmeesters op schepen" 2
"2249" "18 to 22" "Female" "Hofmeesters op schepen" 1
"2250" "25 to 35" "Female" "Hofmeesters op schepen" 4
"2251" "36 to 50" "Female" "Hofmeesters op schepen" 8
"2252" "51 to 60" "Female" "Hofmeesters op schepen" 2
"2253" "18 to 22" "Male" "Hondenscheerders" 1
"2254" "25 to 35" "Male" "Hondenscheerders" 1
"2255" "36 to 50" "Male" "Hondenscheerders" 2
"2256" "66 to 70" "Male" "Hondenscheerders" 2
"2257" "36 to 50" "Female" "Hondenscheerders" 1
"2258" "12" "Male" "Horlogemakers" 3
"2259" "13" "Male" "Horlogemakers" 6
"2260" "14 to 15" "Male" "Horlogemakers" 30
"2261" "16 to 17" "Male" "Horlogemakers" 33
"2262" "18 to 22" "Male" "Horlogemakers" 100
"2263" "23 to 24" "Male" "Horlogemakers" 47
"2264" "25 to 35" "Male" "Horlogemakers" 150
"2265" "36 to 50" "Male" "Horlogemakers" 152
"2266" "51 to 60" "Male" "Horlogemakers" 58
"2267" "61 to 65" "Male" "Horlogemakers" 28
"2268" "66 to 70" "Male" "Horlogemakers" 17
"2269" "Older than 70" "Male" "Horlogemakers" 12
"2270" "36 to 50" "Female" "Horlogemakers" 1
"2271" "51 to 60" "Female" "Horlogemakers" 1
"2272" "61 to 65" "Female" "Horlogemakers" 1
"2273" "18 to 22" "Male" "Hotel- en logementhouders" 1
"2274" "23 to 24" "Male" "Hotel- en logementhouders" 4
"2275" "25 to 35" "Male" "Hotel- en logementhouders" 40
"2276" "36 to 50" "Male" "Hotel- en logementhouders" 118
"2277" "51 to 60" "Male" "Hotel- en logementhouders" 51
"2278" "61 to 65" "Male" "Hotel- en logementhouders" 11
"2279" "66 to 70" "Male" "Hotel- en logementhouders" 5
"2280" "Older than 70" "Male" "Hotel- en logementhouders" 4
"2281" "18 to 22" "Female" "Hotel- en logementhouders" 2
"2282" "23 to 24" "Female" "Hotel- en logementhouders" 1
"2283" "25 to 35" "Female" "Hotel- en logementhouders" 10
"2284" "36 to 50" "Female" "Hotel- en logementhouders" 38
"2285" "51 to 60" "Female" "Hotel- en logementhouders" 31
"2286" "61 to 65" "Female" "Hotel- en logementhouders" 9
"2287" "66 to 70" "Female" "Hotel- en logementhouders" 4
"2288" "Older than 70" "Female" "Hotel- en logementhouders" 4
"2289" "23 to 24" "Male" "Houders van informatiekantoren" 1
"2290" "25 to 35" "Male" "Houders van informatiekantoren" 2
"2291" "36 to 50" "Male" "Houders van informatiekantoren" 2
"2292" "51 to 60" "Male" "Houders van informatiekantoren" 1
"2293" "25 to 35" "Male" "Houtbereiders (creosoteering) " 1
"2294" "36 to 50" "Male" "Houtbereiders (creosoteering) " 4
"2295" "51 to 60" "Male" "Houtbereiders (creosoteering) " 1
"2296" "61 to 65" "Male" "Houtbereiders (creosoteering) " 3
"2297" "25 to 35" "Male" "Houtfactoren" 3
"2298" "12" "Male" "Houthakkers" 1
"2299" "13" "Male" "Houthakkers" 1
"2300" "25 to 35" "Male" "Houthakkers" 1
"2301" "36 to 50" "Male" "Houthakkers" 1
"2302" "51 to 60" "Male" "Houthakkers" 1
"2303" "25 to 35" "Male" "Houtsnijders" 1
"2304" "36 to 50" "Male" "Houtsnijders" 1
"2305" "51 to 60" "Male" "Houtsnijders" 1
"2306" "25 to 35" "Male" "Houtvlotters" 5
"2307" "36 to 50" "Male" "Houtvlotters" 8
"2308" "51 to 60" "Male" "Houtvlotters" 4
"2309" "66 to 70" "Male" "Houtvlotters" 2
"2310" "12" "Male" "Houtzagers" 1
"2311" "13" "Male" "Houtzagers" 3
"2312" "14 to 15" "Male" "Houtzagers" 14
"2313" "16 to 17" "Male" "Houtzagers" 10
"2314" "18 to 22" "Male" "Houtzagers" 29
"2315" "23 to 24" "Male" "Houtzagers" 6
"2316" "25 to 35" "Male" "Houtzagers" 58
"2317" "36 to 50" "Male" "Houtzagers" 94
"2318" "51 to 60" "Male" "Houtzagers" 58
"2319" "61 to 65" "Male" "Houtzagers" 18
"2320" "66 to 70" "Male" "Houtzagers" 6
"2321" "Older than 70" "Male" "Houtzagers" 8
"2322" "18 to 22" "Male" "Huidenzoeters" 5
"2323" "23 to 24" "Male" "Huidenzoeters" 5
"2324" "25 to 35" "Male" "Huidenzoeters" 16
"2325" "36 to 50" "Male" "Huidenzoeters" 8
"2326" "51 to 60" "Male" "Huidenzoeters" 10
"2327" "61 to 65" "Male" "Huidenzoeters" 3
"2328" "66 to 70" "Male" "Huidenzoeters" 1
"2329" "Older than 70" "Male" "Huidenzoeters" 2
"2330" "12" "Male" "Huisschilders" 22
"2331" "13" "Male" "Huisschilders" 43
"2332" "14 to 15" "Male" "Huisschilders" 175
"2333" "16 to 17" "Male" "Huisschilders" 236
"2334" "18 to 22" "Male" "Huisschilders" 635
"2335" "23 to 24" "Male" "Huisschilders" 259
"2336" "25 to 35" "Male" "Huisschilders" 1421
"2337" "36 to 50" "Male" "Huisschilders" 1266
"2338" "51 to 60" "Male" "Huisschilders" 595
"2339" "61 to 65" "Male" "Huisschilders" 213
"2340" "66 to 70" "Male" "Huisschilders" 150
"2341" "Older than 70" "Male" "Huisschilders" 63
"2342" "36 to 50" "Female" "Huisschilders" 2
"2343" "51 to 60" "Female" "Huisschilders" 2
"2344" "61 to 65" "Female" "Huisschilders" 2
"2345" "66 to 70" "Female" "Huisschilders" 2
"2346" "12" "Male" "Huurkoetsiers" 1
"2347" "13" "Male" "Huurkoetsiers" 2
"2348" "14 to 15" "Male" "Huurkoetsiers" 11
"2349" "16 to 17" "Male" "Huurkoetsiers" 25
"2350" "18 to 22" "Male" "Huurkoetsiers" 89
"2351" "23 to 24" "Male" "Huurkoetsiers" 39
"2352" "25 to 35" "Male" "Huurkoetsiers" 231
"2353" "36 to 50" "Male" "Huurkoetsiers" 229
"2354" "51 to 60" "Male" "Huurkoetsiers" 81
"2355" "61 to 65" "Male" "Huurkoetsiers" 36
"2356" "66 to 70" "Male" "Huurkoetsiers" 28
"2357" "Older than 70" "Male" "Huurkoetsiers" 7
"2358" "25 to 35" "Female" "Huurkoetsiers" 1
"2359" "36 to 50" "Female" "Huurkoetsiers" 2
"2360" "51 to 60" "Female" "Huurkoetsiers" 3
"2361" "66 to 70" "Female" "Huurkoetsiers" 2
"2362" "Older than 70" "Female" "Huurkoetsiers" 2
"2363" "12" "Male" "id" 65
"2364" "13" "Male" "id" 225
"2365" "14 to 15" "Male" "id" 617
"2366" "16 to 17" "Male" "id" 476
"2367" "18 to 22" "Male" "id" 919
"2368" "23 to 24" "Male" "id" 310
"2369" "25 to 35" "Male" "id" 1092
"2370" "36 to 50" "Male" "id" 916
"2371" "51 to 60" "Male" "id" 290
"2372" "61 to 65" "Male" "id" 101
"2373" "66 to 70" "Male" "id" 64
"2374" "Older than 70" "Male" "id" 19
"2375" "13" "Female" "id" 3
"2376" "14 to 15" "Female" "id" 5
"2377" "16 to 17" "Female" "id" 4
"2378" "18 to 22" "Female" "id" 7
"2379" "23 to 24" "Female" "id" 1
"2380" "25 to 35" "Female" "id" 5
"2381" "36 to 50" "Female" "id" 4
"2382" "51 to 60" "Female" "id" 5
"2383" "61 to 65" "Female" "id" 4
"2384" "66 to 70" "Female" "id" 1
"2385" "12" "Male" "IJzergieters" 3
"2386" "13" "Male" "IJzergieters" 8
"2387" "14 to 15" "Male" "IJzergieters" 16
"2388" "16 to 17" "Male" "IJzergieters" 18
"2389" "18 to 22" "Male" "IJzergieters" 43
"2390" "23 to 24" "Male" "IJzergieters" 14
"2391" "25 to 35" "Male" "IJzergieters" 84
"2392" "36 to 50" "Male" "IJzergieters" 102
"2393" "51 to 60" "Male" "IJzergieters" 39
"2394" "61 to 65" "Male" "IJzergieters" 12
"2395" "66 to 70" "Male" "IJzergieters" 11
"2396" "Older than 70" "Male" "IJzergieters" 5
"2397" "61 to 65" "Male" "Ingenieurs" 1
"2398" "18 to 22" "Male" "Inspecteuren" 1
"2399" "25 to 35" "Male" "Inspecteuren" 7
"2400" "36 to 50" "Male" "Inspecteuren" 3
"2401" "51 to 60" "Male" "Inspecteuren" 3
"2402" "61 to 65" "Male" "Inspecteuren" 1
"2403" "36 to 50" "Male" "Inspecteurs" 2
"2404" "25 to 35" "Male" "Inspecteurs stoomvaartmaatschappij" 2
"2405" "36 to 50" "Male" "Inspecteurs stoomvaartmaatschappij" 1
"2406" "13" "Male" "Instrumentslijpers" 1
"2407" "14 to 15" "Male" "Instrumentslijpers" 6
"2408" "16 to 17" "Male" "Instrumentslijpers" 8
"2409" "18 to 22" "Male" "Instrumentslijpers" 19
"2410" "23 to 24" "Male" "Instrumentslijpers" 10
"2411" "25 to 35" "Male" "Instrumentslijpers" 33
"2412" "36 to 50" "Male" "Instrumentslijpers" 24
"2413" "51 to 60" "Male" "Instrumentslijpers" 6
"2414" "61 to 65" "Male" "Instrumentslijpers" 2
"2415" "Older than 70" "Male" "Instrumentslijpers" 2
"2416" "36 to 50" "Male" "Jachtopzieners" 2
"2417" "25 to 35" "Male" "Jagers" 1
"2418" "36 to 50" "Male" "Jagers" 1
"2419" "61 to 65" "Male" "Jagers" 1
"2420" "66 to 70" "Male" "Jagers" 1
"2421" "13" "Male" "Juweliers" 2
"2422" "14 to 15" "Male" "Juweliers" 5
"2423" "16 to 17" "Male" "Juweliers" 6
"2424" "18 to 22" "Male" "Juweliers" 3
"2425" "23 to 24" "Male" "Juweliers" 3
"2426" "25 to 35" "Male" "Juweliers" 9
"2427" "36 to 50" "Male" "Juweliers" 11
"2428" "51 to 60" "Male" "Juweliers" 4
"2429" "61 to 65" "Male" "Juweliers" 1
"2430" "66 to 70" "Male" "Juweliers" 3
"2431" "Older than 70" "Male" "Juweliers" 2
"2432" "14 to 15" "Male" "Kachelhoutjesmakers" 2
"2433" "23 to 24" "Male" "Kachelhoutjesmakers" 1
"2434" "51 to 60" "Male" "Kachelhoutjesmakers" 2
"2435" "61 to 65" "Male" "Kachelhoutjesmakers" 1
"2436" "51 to 60" "Male" "Kantwerkers" 1
"2437" "51 to 60" "Male" "Kantwerksters" 1
"2438" "66 to 70" "Female" "Kantwerksters" 1
"2439" "13" "Male" "Kappers" 5
"2440" "14 to 15" "Male" "Kappers" 25
"2441" "16 to 17" "Male" "Kappers" 21
"2442" "18 to 22" "Male" "Kappers" 65
"2443" "23 to 24" "Male" "Kappers" 16
"2444" "25 to 35" "Male" "Kappers" 102
"2445" "36 to 50" "Male" "Kappers" 69
"2446" "51 to 60" "Male" "Kappers" 27
"2447" "61 to 65" "Male" "Kappers" 10
"2448" "66 to 70" "Male" "Kappers" 4
"2449" "Older than 70" "Male" "Kappers" 2
"2450" "12" "Female" "Kappers" 1
"2451" "14 to 15" "Female" "Kappers" 1
"2452" "16 to 17" "Female" "Kappers" 2
"2453" "18 to 22" "Female" "Kappers" 1
"2454" "25 to 35" "Female" "Kappers" 2
"2455" "36 to 50" "Female" "Kappers" 3
"2456" "61 to 65" "Female" "Kappers" 1
"2457" "18 to 22" "Male" "Karrenverhuurders" 1
